genre,title
1,Fathers Day
1,Peel Back The Mountain Sky
1,Untitled 04
1,Untitled 11
1,Hundred-Year Flood
1,Squares And Circles
1,Maps of the Stars Homes
1,Boss of Goth
1,Industry Standard Massacre
1,Marching as Technitions
1,I Cant Stand You Up-right
1,Save Lifes Golden Receipt In Case Refund Needed
1,Senators Stance
1,Snapped Today
1,Step Up to Legends
1,Petty Hate Machine
1,Lend Me a Blanket
1,Ready to Die
1,Gopacapulco
1,Jules Lost His Jewels
1,For Kate I Wait
1,Helen
1,W.T.M.
1,Dont Run With Pizzas
1,A New Map for Kissing
1,The Indefinite Time Yet to Come
1,Its Becoming a Stranger
1,We Want to be Old
1,Toggle
1,My Lil
1,Eyebone
1,Splish spladdy
1,Woo You
1,Disney on Ice
1,The Prime Four
1,Out on the farm
1,The Hotel
1,Where are all the people
1,Going Down to Soho
1,Tropical Holiday Time
1,Tropical Sheep
1,Think Things Of You
1,Daisey Chains
1,Interference
1,Itching in my pants
1,Very Nice
1,1-2-3-4
1,Complete Shakespeare
1,The Natives are Restless
1,Heart Attack
1,Shopping Bag
1,Crocodile Song
1,I just dont know
1,Liquidizing Chickens
1,Burn
1,Hands Beckoning
1,Central Park
1,White Man
1,Weatherman
1,39th floor Club
1,Blah intro
1,Blahpunk
1,Bored
1,Breeder
1,Brians Garage
1,Cabages in the sunset
1,Chimpanzees disease
1,Circles in London
1,Count Draculas castle
1,Crash
1,Cybernetics
1,Denver
1,Ding dang (skat)
1,Disco Ghoul
1,Down in the pits again
1,Excretia
1,Garden of Eden
1,Gotta Go
1,Hippopotamus
1,In Arabia
1,In my Grandfathers Clock
1,Julie Andrews
1,Just you wait and see
1,Little White Boxes
1,Mr Mystery
1,My House
1,My Room
1,Radio Jazz with Mr Rhodes
1,Red coated young girlfriend
1,Starsigns
1,Sugar Bowl
1,Sunspot activity
1,The Sound of Music
1,The Swamp
1,There goes my greenhouse
1,Vampires
1,Whistle while you work
1,Why didnt Nero?
1,vermalderhide
1,"Untitled Boogie (edit), Transfiguration Boogie, Boogie Hole"
1,Boogie Hole
1,Transfiguration Boogie
1,Hunt Like Devil 4
1,Machines and Muscles
1,Asterism
1,Lets Climb a Mossy Hill
1,Vast and Sad (KPSU)
1,Waverly
1,Cloud Light
1,Ephrata Cloister
1,Spirit Duplicator
1,Victoria 1
1,Your Leather Jacket (Kelly Haus)
1,Buddy Alan In Reno
1,Leftward Glance
1,Lets Climb a Mossy Hill (Kelly Haus)
1,Recessional
1,White Shoulders
1,Appear to Be (Kelly Haus)
1,Council Bluffs
1,Hall Blvd.
1,Magnolias Milan
1,One Rose Among Many
1,Asterism (Kelly Haus)
1,Avoid
1,For Christie 7/4
1,Nevertheless
1,Vast and Sad
1,For To Pour
1,I Cant Hear the Birds Sing
1,In the Sky
1,"Waterfall (Emerald City Coffee, Seattle)"
1,Winged Ear
1,Appear To Be
1,Birdlike Movements
1,"Longview, WA"
1,Utmost House
1,"Vast and Sad (Showoff Gallery, Bellingham)"
1,Carted Off
1,Cry
1,Moths!!!
1,Toasty Birds
1,5 In 1
1,A Wrens Heart
1,Sac City
1,Sharper &amp; Clearer
1,""""""
1,Victoria 2
1,Four Doors
1,Lets Climb a Mossy Hill
1,Kohoutek
1,Narcotic Effect On Bees
1,Invisible Tape
1,A River Frozen In Place
1,End Over End
1,Black Is the Color of My True Loves Mail
1,I Didnt Think the Oracle Was Talking to Me
1,I Have Not Spoken All Day
1,Do Not Talk
1,For Jake Erdmann Et Al.
1,An Odd Number of Stairs
1,For the Dishroom at Meridian Park Hospital
1,White Satin Bed
1,"Night Air, Portland"
1,Ex Lucky
1,Dumb Me Down
1,The Sugar Society
1,Sophia
1,Jasmine
1,Libertys Bell
1,Disconnect
1,Shadow Law
1,Old Route 13
1,Medicine Chant
1,Awaken
1,When My Ship Comes In
1,Caliente Queen
1,Shining the Diamond
1,Shot At the Post Office
1,It Got in The Way
1,tan man
1,(Tryin To) Read My Mind
1,Premonition
1,I Was So Bored I Wanted To Hang Myself On The Dancefloor
1,Attack of the Clones
1,Clare (Undone)
1,Punk Rock vs. Swiss Modernism
1,The Psychic
1,Indian Giver
1,LGNO
1,Xmas at Wounded Knee
1,Cataclysm
1,Into the Vastness of Stupidity
1,Part 4
1,Trauma 11
1,Korea
1,Isle of Man
1,Iran
1,Antarctica
1,Ehtiopia
1,Japan
1,Mexico
1,Peru Austria and Canada
1,Kamikaze!
1,Loch Ness Primitive
1,No Idea
1,Florida Tags
1,Camera Shy
1,Evil Twin
1,Looking For A kiss
1,Take A hit
1,Relaxing
1,Dont Call Me Tonite / Very Good
1,Causing Disturbances
1,Dont Peek-O
